1,463,,1,16853,,1,772,,1,548
4,629,,4,13136,,4,1223,,4,5188
16,10,,16,960,,16,320,,16,76
64,124,,64,2685,,64,56,,64,872
256,2094,,256,9418,,256,180,,256,1679
1024,32782,,1024,33594,,1024,835,,1024,10650
4096,527462,,4096,147824,,4096,3780,,4096,25660
16384,8453856,,16384,593054,,16384,17589,,16384,120880
65536,135981416,,65536,2567446,,65536,81079,,65536,346814
262144,19893679830,,262144,11854941,,262144,398210,,262144,1523205
,,,1.05E+06,49028294,,1.05E+06,1644011,,1.05E+06,5382709
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bubble,Heap,Quick,Merge,,,,,,,
